requested_k,active_topics,empty_topics,empty_topic_fraction,train_documents_assigned,train_topic_size_min,train_topic_size_p10,train_topic_size_median,train_topic_size_p90,train_topics_below_20,train_topic_size_gini,effective_topic_count,validation_keyword_coverage,validation_active_topic_coverage,sampled_cosine_silhouette,sampled_silhouette_n,simplified_silhouette_mean,simplified_silhouette_negative_fraction,davies_bouldin,keyword_embedding_top1_agreement,keyword_embedding_ari,validation_nearest_centroid_cosine_mean,validation_nearest_centroid_margin_mean,nmf_reconstruction_error,nmf_relative_reconstruction_error,nearest_center_cosine_mean,nearest_center_cosine_p90,nearest_center_cosine_max,algorithm,seed,max_iter,n_iter,batch_size,fit_seconds,convergence_warnings,rank_sampled_cosine_silhouette,rank_simplified_silhouette_mean,rank_davies_bouldin,rank_nearest_center_cosine_mean,rank_empty_topic_fraction,rank_keyword_embedding_ari,mean_metric_rank,selection_score,within_practical_tie,selection_eligible,selected
400,400,0,0.0,111943,30,140.0,270.5,428.20000000000005,0,0.21982868513439882,368.4666657620957,0.9990833333333333,0.9990833333333333,-0.07107292115688324,6000,-0.050431083887815475,0.6545166402535658,5.1041303802405045,0.34548335974643424,0.1621178334039124,0.731910765171051,0.016979802399873734,253.54745483398438,0.7578108310699463,0.956156849861145,0.9757344722747803,0.9875870943069458,score-weighted OpenAlex keyword TF-IDF + MiniBatchNMF,17,30,21,4096,1061.389224767685,[],,,,,,,,,False,False,False
450,450,0,0.0,111943,3,135.0,241.5,370.30000000000007,1,0.2187572246589783,413.906206501325,0.9990833333333333,0.9990833333333333,-0.07632716000080109,6000,-0.054190635681152344,0.6668612895153891,4.941442042390339,0.3331387104846109,0.15101520037036684,0.7325541377067566,0.01644458808004856,248.994384765625,0.7442024350166321,0.9553395509719849,0.9753223657608032,0.9923623204231262,score-weighted OpenAlex keyword TF-IDF + MiniBatchNMF,17,30,20,4096,1131.5471081733704,[],1.0,1.0,3.0,3.0,2.0,1.0,1.8333333333333333,1.9833333333333332,True,True,False
500,500,0,0.0,111943,2,115.9,221.5,337.20000000000005,2,0.214672663766381,461.3866214022788,0.9990833333333333,0.9990833333333333,-0.08662784844636917,6000,-0.05706404149532318,0.6686963049462007,4.835183823096179,0.3313036950537993,0.1503985197941117,0.7337735295295715,0.01647711917757988,243.81988525390625,0.7287367582321167,0.9552890658378601,0.975480854511261,0.990605354309082,score-weighted OpenAlex keyword TF-IDF + MiniBatchNMF,17,30,23,4096,382.7134130001068,[],2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,True,True,True
550,550,0,0.0,111943,3,102.9,200.0,299.1,2,0.21849283685771898,505.7319551501265,0.9990833333333333,0.9990833333333333,-0.09653808921575546,6000,-0.05896146968007088,0.6750354491617316,4.716085515818754,0.3249645508382684,0.14431658544155232,0.7340612411499023,0.016020312905311584,240.36209106445312,0.7184019684791565,0.9547536373138428,0.9748169779777527,0.9909687042236328,score-weighted OpenAlex keyword TF-IDF + MiniBatchNMF,17,30,21,4096,1305.8949656486511,[],3.0,3.0,1.0,1.0,2.0,3.0,2.1666666666666665,2.3166666666666664,False,True,False
600,600,0,0.0,111943,15,90.9,187.0,270.0,2,0.21708293506516707,552.3536230737749,0.9990833333333333,0.9990833333333333,-0.09576450288295746,6000,-0.06137102097272873,0.683209608808074,4.585985174268176,0.3167903911919259,0.14061234915204343,0.7352346181869507,0.016102787107229233,236.17637634277344,0.7058915495872498,0.9550294876098633,0.9758705496788025,0.9904833436012268,score-weighted OpenAlex keyword TF-IDF + MiniBatchNMF,17,30,21,4096,1354.2140982151031,[],,,,,,,,,False,False,False
